"Notes"	"Year"	"Year Code"	"State of Residence"	"State of Residence Code"	"Sex of Infant"	"Sex of Infant Code"	Births
	"2017"	"2017"	"Indiana"	"18"	"Female"	"F"	40323
	"2017"	"2017"	"Indiana"	"18"	"Male"	"M"	41847
	"2017"	"2017"	"Iowa"	"19"	"Female"	"F"	18795
	"2017"	"2017"	"Iowa"	"19"	"Male"	"M"	19635
	"2017"	"2017"	"Kansas"	"20"	"Female"	"F"	17627
	"2017"	"2017"	"Kansas"	"20"	"Male"	"M"	18892
	"2017"	"2017"	"Kentucky"	"21"	"Female"	"F"	26540
	"2017"	"2017"	"Kentucky"	"21"	"Male"	"M"	28212
	"2017"	"2017"	"Louisiana"	"22"	"Female"	"F"	29879
	"2017"	"2017"	"Louisiana"	"22"	"Male"	"M"	31139
	"2017"	"2017"	"Maine"	"23"	"Female"	"F"	6075
	"2017"	"2017"	"Maine"	"23"	"Male"	"M"	6223
	"2017"	"2017"	"Maryland"	"24"	"Female"	"F"	35204
	"2017"	"2017"	"Maryland"	"24"	"Male"	"M"	36437
	"2017"	"2017"	"Massachusetts"	"25"	"Female"	"F"	34603
	"2017"	"2017"	"Massachusetts"	"25"	"Male"	"M"	36099
	"2017"	"2017"	"Michigan"	"26"	"Female"	"F"	54547
	"2017"	"2017"	"Michigan"	"26"	"Male"	"M"	56879
	"2017"	"2017"	"Minnesota"	"27"	"Female"	"F"	33531
	"2017"	"2017"	"Minnesota"	"27"	"Male"	"M"	35064
	"2017"	"2017"	"Mississippi"	"28"	"Female"	"F"	18263
	"2017"	"2017"	"Mississippi"	"28"	"Male"	"M"	19094
	"2017"	"2017"	"Missouri"	"29"	"Female"	"F"	35560
	"2017"	"2017"	"Missouri"	"29"	"Male"	"M"	37474
	"2017"	"2017"	"Montana"	"30"	"Female"	"F"	5765
	"2017"	"2017"	"Montana"	"30"	"Male"	"M"	6034
	"2017"	"2017"	"Nebraska"	"31"	"Female"	"F"	12615
	"2017"	"2017"	"Nebraska"	"31"	"Male"	"M"	13206
	"2017"	"2017"	"Nevada"	"32"	"Female"	"F"	17479
	"2017"	"2017"	"Nevada"	"32"	"Male"	"M"	18277
	"2017"	"2017"	"New Hampshire"	"33"	"Female"	"F"	5966
	"2017"	"2017"	"New Hampshire"	"33"	"Male"	"M"	6150
	"2017"	"2017"	"New Jersey"	"34"	"Female"	"F"	49170
	"2017"	"2017"	"New Jersey"	"34"	"Male"	"M"	52080
	"2017"	"2017"	"New Mexico"	"35"	"Female"	"F"	11586
	"2017"	"2017"	"New Mexico"	"35"	"Male"	"M"	12181
	"2017"	"2017"	"New York"	"36"	"Female"	"F"	112014
	"2017"	"2017"	"New York"	"36"	"Male"	"M"	117723
	"2017"	"2017"	"North Carolina"	"37"	"Female"	"F"	58634
	"2017"	"2017"	"North Carolina"	"37"	"Male"	"M"	61491
	"2017"	"2017"	"North Dakota"	"38"	"Female"	"F"	5177
	"2017"	"2017"	"North Dakota"	"38"	"Male"	"M"	5560
	"2017"	"2017"	"Ohio"	"39"	"Female"	"F"	66857
	"2017"	"2017"	"Ohio"	"39"	"Male"	"M"	69975
	"2017"	"2017"	"Oklahoma"	"40"	"Female"	"F"	24323
	"2017"	"2017"	"Oklahoma"	"40"	"Male"	"M"	25891
	"2017"	"2017"	"Oregon"	"41"	"Female"	"F"	21181
	"2017"	"2017"	"Oregon"	"41"	"Male"	"M"	22450
	"2017"	"2017"	"Pennsylvania"	"42"	"Female"	"F"	67055
	"2017"	"2017"	"Pennsylvania"	"42"	"Male"	"M"	70690
	"2017"	"2017"	"Rhode Island"	"44"	"Female"	"F"	5268
	"2017"	"2017"	"Rhode Island"	"44"	"Male"	"M"	5370
	"2017"	"2017"	"South Carolina"	"45"	"Female"	"F"	27719
	"2017"	"2017"	"South Carolina"	"45"	"Male"	"M"	29310
	"2017"	"2017"	"South Dakota"	"46"	"Female"	"F"	6016
	"2017"	"2017"	"South Dakota"	"46"	"Male"	"M"	6118
	"2017"	"2017"	"Tennessee"	"47"	"Female"	"F"	39349
	"2017"	"2017"	"Tennessee"	"47"	"Male"	"M"	41667
	"2017"	"2017"	"Texas"	"48"	"Female"	"F"	187092
	"2017"	"2017"	"Texas"	"48"	"Male"	"M"	194958
	"2017"	"2017"	"Utah"	"49"	"Female"	"F"	23449
	"2017"	"2017"	"Utah"	"49"	"Male"	"M"	25136
	"2017"	"2017"	"Vermont"	"50"	"Female"	"F"	2784
	"2017"	"2017"	"Vermont"	"50"	"Male"	"M"	2871
	"2017"	"2017"	"Virginia"	"51"	"Female"	"F"	49020
	"2017"	"2017"	"Virginia"	"51"	"Male"	"M"	51371
	"2017"	"2017"	"Washington"	"53"	"Female"	"F"	42727
	"2017"	"2017"	"Washington"	"53"	"Male"	"M"	44835
	"2017"	"2017"	"West Virginia"	"54"	"Female"	"F"	9102
	"2017"	"2017"	"West Virginia"	"54"	"Male"	"M"	9573
	"2017"	"2017"	"Wisconsin"	"55"	"Female"	"F"	31780
	"2017"	"2017"	"Wisconsin"	"55"	"Male"	"M"	33195
	"2017"	"2017"	"Wyoming"	"56"	"Female"	"F"	3409
	"2017"	"2017"	"Wyoming"	"56"	"Male"	"M"	3494
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	27993
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	29768
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	4878
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	5208
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	39389
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	41334
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	18188
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	18830
	"2018"	"2018"	"California"	"06"	"Female"	"F"	222531
	"2018"	"2018"	"California"	"06"	"Male"	"M"	232389
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	30863
	"2018"	"2018"	"Colorado"	"08"	"Male"	"M"	32022
	"2018"	"2018"	"Connecticut"	"09"	"Female"	"F"	16927
	"2018"	"2018"	"Connecticut"	"09"	"Male"	"M"	17798
	"2018"	"2018"	"Delaware"	"10"	"Female"	"F"	5159
	"2018"	"2018"	"Delaware"	"10"	"Male"	"M"	5462
	"2018"	"2018"	"District of Columbia"	"11"	"Female"	"F"	4475
	"2018"	"2018"	"District of Columbia"	"11"	"Male"	"M"	4737
	"2018"	"2018"	"Florida"	"12"	"Female"	"F"	108088
	"2018"	"2018"	"Florida"	"12"	"Male"	"M"	113454
	"2018"	"2018"	"Georgia"	"13"	"Female"	"F"	61712
	"2018"	"2018"	"Georgia"	"13"	"Male"	"M"	64460
	"2018"	"2018"	"Hawaii"	"15"	"Female"	"F"	8246
	"2018"	"2018"	"Hawaii"	"15"	"Male"	"M"	8726
	"2018"	"2018"	"Idaho"	"16"	"Female"	"F"	10435
	"2018"	"2018"	"Idaho"	"16"	"Male"	"M"	10968
	"2018"	"2018"	"Illinois"	"17"	"Female"	"F"	70695
	"2018"	"2018"	"Illinois"	"17"	"Male"	"M"	74120
	"2018"	"2018"	"Indiana"	"18"	"Female"	"F"	39911
	"2018"	"2018"	"Indiana"	"18"	"Male"	"M"	41735
	"2018"	"2018"	"Iowa"	"19"	"Female"	"F"	18484
	"2018"	"2018"	"Iowa"	"19"	"Male"	"M"	19301
	"2018"	"2018"	"Kansas"	"20"	"Female"	"F"	17674
	"2018"	"2018"	"Kansas"	"20"	"Male"	"M"	18587
	"2018"	"2018"	"Kentucky"	"21"	"Female"	"F"	26254
	"2018"	"2018"	"Kentucky"	"21"	"Male"	"M"	27668
	"2018"	"2018"	"Louisiana"	"22"	"Female"	"F"	29197
	"2018"	"2018"	"Louisiana"	"22"	"Male"	"M"	30418
	"2018"	"2018"	"Maine"	"23"	"Female"	"F"	6063
	"2018"	"2018"	"Maine"	"23"	"Male"	"M"	6248
	"2018"	"2018"	"Maryland"	"24"	"Female"	"F"	34782
	"2018"	"2018"	"Maryland"	"24"	"Male"	"M"	36298
	"2018"	"2018"	"Massachusetts"	"25"	"Female"	"F"	33810
	"2018"	"2018"	"Massachusetts"	"25"	"Male"	"M"	35299
	"2018"	"2018"	"Michigan"	"26"	"Female"	"F"	53718
	"2018"	"2018"	"Michigan"	"26"	"Male"	"M"	56314
	"2018"	"2018"	"Minnesota"	"27"	"Female"	"F"	33060
	"2018"	"2018"	"Minnesota"	"27"	"Male"	"M"	34284
	"2018"	"2018"	"Mississippi"	"28"	"Female"	"F"	18184
	"2018"	"2018"	"Mississippi"	"28"	"Male"	"M"	18816
	"2018"	"2018"	"Missouri"	"29"	"Female"	"F"	35966
	"2018"	"2018"	"Missouri"	"29"	"Male"	"M"	37303
	"2018"	"2018"	"Montana"	"30"	"Female"	"F"	5609
	"2018"	"2018"	"Montana"	"30"	"Male"	"M"	5904
	"2018"	"2018"	"Nebraska"	"31"	"Female"	"F"	12433
	"2018"	"2018"	"Nebraska"	"31"	"Male"	"M"	13055
	"2018"	"2018"	"Nevada"	"32"	"Female"	"F"	17370
	"2018"	"2018"	"Nevada"	"32"	"Male"	"M"	18312
	"2018"	"2018"	"New Hampshire"	"33"	"Female"	"F"	5978
	"2018"	"2018"	"New Hampshire"	"33"	"Male"	"M"	6017
	"2018"	"2018"	"New Jersey"	"34"	"Female"	"F"	49532
	"2018"	"2018"	"New Jersey"	"34"	"Male"	"M"	51691
	"2018"	"2018"	"New Mexico"	"35"	"Female"	"F"	11385
	"2018"	"2018"	"New Mexico"	"35"	"Male"	"M"	11654
	"2018"	"2018"	"New York"	"36"	"Female"	"F"	110639
	"2018"	"2018"	"New York"	"36"	"Male"	"M"	115599
	"2018"	"2018"	"North Carolina"	"37"	"Female"	"F"	58387
	"2018"	"2018"	"North Carolina"	"37"	"Male"	"M"	60567
	"2018"	"2018"	"North Dakota"	"38"	"Female"	"F"	5121
	"2018"	"2018"	"North Dakota"	"38"	"Male"	"M"	5515
	"2018"	"2018"	"Ohio"	"39"	"Female"	"F"	66201
	"2018"	"2018"	"Ohio"	"39"	"Male"	"M"	68933
	"2018"	"2018"	"Oklahoma"	"40"	"Female"	"F"	24287
	"2018"	"2018"	"Oklahoma"	"40"	"Male"	"M"	25513
	"2018"	"2018"	"Oregon"	"41"	"Female"	"F"	20615
	"2018"	"2018"	"Oregon"	"41"	"Male"	"M"	21573
	"2018"	"2018"	"Pennsylvania"	"42"	"Female"	"F"	65899
	"2018"	"2018"	"Pennsylvania"	"42"	"Male"	"M"	69774
	"2018"	"2018"	"Rhode Island"	"44"	"Female"	"F"	5214
	"2018"	"2018"	"Rhode Island"	"44"	"Male"	"M"	5292
	"2018"	"2018"	"South Carolina"	"45"	"Female"	"F"	27591
	"2018"	"2018"	"South Carolina"	"45"	"Male"	"M"	29078
	"2018"	"2018"	"South Dakota"	"46"	"Female"	"F"	5885
	"2018"	"2018"	"South Dakota"	"46"	"Male"	"M"	6008
	"2018"	"2018"	"Tennessee"	"47"	"Female"	"F"	39655
	"2018"	"2018"	"Tennessee"	"47"	"Male"	"M"	41096
	"2018"	"2018"	"Texas"	"48"	"Female"	"F"	185303
	"2018"	"2018"	"Texas"	"48"	"Male"	"M"	193321
	"2018"	"2018"	"Utah"	"49"	"Female"	"F"	23000
	"2018"	"2018"	"Utah"	"49"	"Male"	"M"	24209
	"2018"	"2018"	"Vermont"	"50"	"Female"	"F"	2666
	"2018"	"2018"	"Vermont"	"50"	"Male"	"M"	2766
	"2018"	"2018"	"Virginia"	"51"	"Female"	"F"	48629
	"2018"	"2018"	"Virginia"	"51"	"Male"	"M"	51214
	"2018"	"2018"	"Washington"	"53"	"Female"	"F"	42233
	"2018"	"2018"	"Washington"	"53"	"Male"	"M"	43852
	"2018"	"2018"	"West Virginia"	"54"	"Female"	"F"	8815
	"2018"	"2018"	"West Virginia"	"54"	"Male"	"M"	9433
	"2018"	"2018"	"Wisconsin"	"55"	"Female"	"F"	31218
	"2018"	"2018"	"Wisconsin"	"55"	"Male"	"M"	32880
	"2018"	"2018"	"Wyoming"	"56"	"Female"	"F"	3186
	"2018"	"2018"	"Wyoming"	"56"	"Male"	"M"	3376
	"2019"	"2019"	"Alabama"	"01"	"Female"	"F"	28420
	"2019"	"2019"	"Alabama"	"01"	"Male"	"M"	30195
	"2019"	"2019"	"Alaska"	"02"	"Female"	"F"	4703
	"2019"	"2019"	"Alaska"	"02"	"Male"	"M"	5119
	"2019"	"2019"	"Arizona"	"04"	"Female"	"F"	38699
	"2019"	"2019"	"Arizona"	"04"	"Male"	"M"	40676
	"2019"	"2019"	"Arkansas"	"05"	"Female"	"F"	17805
	"2019"	"2019"	"Arkansas"	"05"	"Male"	"M"	18759
	"2019"	"2019"	"California"	"06"	"Female"	"F"	217276
	"2019"	"2019"	"California"	"06"	"Male"	"M"	229203
	"2019"	"2019"	"Colorado"	"08"	"Female"	"F"	30660
	"2019"	"2019"	"Colorado"	"08"	"Male"	"M"	32209
	"2019"	"2019"	"Connecticut"	"09"	"Female"	"F"	16802
	"2019"	"2019"	"Connecticut"	"09"	"Male"	"M"	17456
	"2019"	"2019"	"Delaware"	"10"	"Female"	"F"	5124
	"2019"	"2019"	"Delaware"	"10"	"Male"	"M"	5438
	"2019"	"2019"	"District of Columbia"	"11"	"Female"	"F"	4466
	"2019"	"2019"	"District of Columbia"	"11"	"Male"	"M"	4613
	"2019"	"2019"	"Florida"	"12"	"Female"	"F"	107453
	"2019"	"2019"	"Florida"	"12"	"Male"	"M"	112549
	"2019"	"2019"	"Georgia"	"13"	"Female"	"F"	62057
	"2019"	"2019"	"Georgia"	"13"	"Male"	"M"	64314
	"2019"	"2019"	"Hawaii"	"15"	"Female"	"F"	8019
	"2019"	"2019"	"Hawaii"	"15"	"Male"	"M"	8778
	"2019"	"2019"	"Idaho"	"16"	"Female"	"F"	10794
	"2019"	"2019"	"Idaho"	"16"	"Male"	"M"	11269
	"2019"	"2019"	"Illinois"	"17"	"Female"	"F"	68340
	"2019"	"2019"	"Illinois"	"17"	"Male"	"M"	71788
	"2019"	"2019"	"Indiana"	"18"	"Female"	"F"	39351
	"2019"	"2019"	"Indiana"	"18"	"Male"	"M"	41508
	"2019"	"2019"	"Iowa"	"19"	"Female"	"F"	18404
	"2019"	"2019"	"Iowa"	"19"	"Male"	"M"	19245
	"2019"	"2019"	"Kansas"	"20"	"Female"	"F"	17354
	"2019"	"2019"	"Kansas"	"20"	"Male"	"M"	18041
	"2019"	"2019"	"Kentucky"	"21"	"Female"	"F"	25952
	"2019"	"2019"	"Kentucky"	"21"	"Male"	"M"	27117
	"2019"	"2019"	"Louisiana"	"22"	"Female"	"F"	28720
	"2019"	"2019"	"Louisiana"	"22"	"Male"	"M"	30221
	"2019"	"2019"	"Maine"	"23"	"Female"	"F"	5852
	"2019"	"2019"	"Maine"	"23"	"Male"	"M"	5927
	"2019"	"2019"	"Maryland"	"24"	"Female"	"F"	34212
	"2019"	"2019"	"Maryland"	"24"	"Male"	"M"	35966
	"2019"	"2019"	"Massachusetts"	"25"	"Female"	"F"	33868
	"2019"	"2019"	"Massachusetts"	"25"	"Male"	"M"	35249
	"2019"	"2019"	"Michigan"	"26"	"Female"	"F"	53066
	"2019"	"2019"	"Michigan"	"26"	"Male"	"M"	54820
	"2019"	"2019"	"Minnesota"	"27"	"Female"	"F"	32330
	"2019"	"2019"	"Minnesota"	"27"	"Male"	"M"	33697
	"2019"	"2019"	"Mississippi"	"28"	"Female"	"F"	17889
	"2019"	"2019"	"Mississippi"	"28"	"Male"	"M"	18747
	"2019"	"2019"	"Missouri"	"29"	"Female"	"F"	35072
	"2019"	"2019"	"Missouri"	"29"	"Male"	"M"	37055
	"2019"	"2019"	"Montana"	"30"	"Female"	"F"	5465
	"2019"	"2019"	"Montana"	"30"	"Male"	"M"	5614
	"2019"	"2019"	"Nebraska"	"31"	"Female"	"F"	12127
	"2019"	"2019"	"Nebraska"	"31"	"Male"	"M"	12628
	"2019"	"2019"	"Nevada"	"32"	"Female"	"F"	16952
	"2019"	"2019"	"Nevada"	"32"	"Male"	"M"	18120
	"2019"	"2019"	"New Hampshire"	"33"	"Female"	"F"	5759
	"2019"	"2019"	"New Hampshire"	"33"	"Male"	"M"	6080
	"2019"	"2019"	"New Jersey"	"34"	"Female"	"F"	48333
	"2019"	"2019"	"New Jersey"	"34"	"Male"	"M"	51252
	"2019"	"2019"	"New Mexico"	"35"	"Female"	"F"	11202
	"2019"	"2019"	"New Mexico"	"35"	"Male"	"M"	11758
	"2019"	"2019"	"New York"	"36"	"Female"	"F"	108474
	"2019"	"2019"	"New York"	"36"	"Male"	"M"	113065
	"2019"	"2019"	"North Carolina"	"37"	"Female"	"F"	58120
	"2019"	"2019"	"North Carolina"	"37"	"Male"	"M"	60605
	"2019"	"2019"	"North Dakota"	"38"	"Female"	"F"	5040
	"2019"	"2019"	"North Dakota"	"38"	"Male"	"M"	5414
	"2019"	"2019"	"Ohio"	"39"	"Female"	"F"	65853
	"2019"	"2019"	"Ohio"	"39"	"Male"	"M"	68608
	"2019"	"2019"	"Oklahoma"	"40"	"Female"	"F"	23907
	"2019"	"2019"	"Oklahoma"	"40"	"Male"	"M"	25236
	"2019"	"2019"	"Oregon"	"41"	"Female"	"F"	20389
	"2019"	"2019"	"Oregon"	"41"	"Male"	"M"	21469
	"2019"	"2019"	"Pennsylvania"	"42"	"Female"	"F"	65740
	"2019"	"2019"	"Pennsylvania"	"42"	"Male"	"M"	68490
	"2019"	"2019"	"Rhode Island"	"44"	"Female"	"F"	4992
	"2019"	"2019"	"Rhode Island"	"44"	"Male"	"M"	5183
	"2019"	"2019"	"South Carolina"	"45"	"Female"	"F"	27882
	"2019"	"2019"	"South Carolina"	"45"	"Male"	"M"	29156
	"2019"	"2019"	"South Dakota"	"46"	"Female"	"F"	5573
	"2019"	"2019"	"South Dakota"	"46"	"Male"	"M"	5876
	"2019"	"2019"	"Tennessee"	"47"	"Female"	"F"	39451
	"2019"	"2019"	"Tennessee"	"47"	"Male"	"M"	40999
	"2019"	"2019"	"Texas"	"48"	"Female"	"F"	184612
	"2019"	"2019"	"Texas"	"48"	"Male"	"M"	192987
	"2019"	"2019"	"Utah"	"49"	"Female"	"F"	22886
	"2019"	"2019"	"Utah"	"49"	"Male"	"M"	23940
	"2019"	"2019"	"Vermont"	"50"	"Female"	"F"	2607
	"2019"	"2019"	"Vermont"	"50"	"Male"	"M"	2754
	"2019"	"2019"	"Virginia"	"51"	"Female"	"F"	47554
	"2019"	"2019"	"Virginia"	"51"	"Male"	"M"	49875
	"2019"	"2019"	"Washington"	"53"	"Female"	"F"	41545
	"2019"	"2019"	"Washington"	"53"	"Male"	"M"	43350
	"2019"	"2019"	"West Virginia"	"54"	"Female"	"F"	8832
